fuel_price,temperature,available_bikes,holiday,day_of_week,weather,demand_score,rental_price
105.56,22.4,83,0,5,Cloudy,51.51,168.2
111.09,33.0,44,0,3,Sunny,56.29,205.21
100.91,31.3,18,0,5,Sunny,72.19,244.5
119.15,31.1,33,0,5,Sunny,100.0,290.67
118.87,20.6,20,0,6,Rainy,59.32,218.5
97.55,29.4,97,0,5,Cloudy,40.52,155.54
104.92,38.5,91,0,1,Cloudy,32.0,131.39
99.03,28.0,14,0,6,Cloudy,66.04,228.75
98.55,32.5,51,0,4,Rainy,8.32,116.27
91.11,35.6,8,0,1,Sunny,43.64,214.38
108.29,35.7,16,0,5,Cloudy,81.82,252.1
105.08,30.4,46,0,4,Cloudy,47.43,178.21
91.54,37.2,8,0,3,Rainy,8.74,138.58
98.36,27.8,88,0,2,Sunny,33.26,149.88
117.25,37.8,96,0,2,Rainy,19.25,114.1
97.19,24.8,96,0,2,Sunny,27.52,121.67
94.35,25.6,10,0,1,Sunny,54.5,221.46
104.68,21.1,18,0,3,Sunny,60.82,229.6
119.57,35.9,39,0,3,Sunny,73.28,231.97
97.26,28.3,51,0,4,Cloudy,25.76,152.46
110.16,24.6,62,0,3,Cloudy,47.01,178.35
112.85,24.6,69,0,2,Sunny,54.54,174.67
97.13,38.0,23,1,3,Cloudy,51.63,215.36
111.85,36.7,61,0,4,Rainy,18.48,123.21
101.03,31.1,69,0,3,Rainy,11.73,122.05
108.97,32.3,17,0,3,Cloudy,57.64,209.62
109.01,29.5,12,0,2,Rainy,35.2,178.49
106.07,27.8,22,0,3,Cloudy,47.68,201.88
92.71,38.3,39,0,1,Sunny,34.46,186.87
115.06,22.5,91,0,6,Sunny,67.22,216.14
99.62,28.4,30,0,4,Sunny,49.05,197.93
95.6,26.9,42,0,4,Cloudy,22.5,147.3
91.22,30.0,88,0,4,Rainy,0.0,85.82
107.73,29.2,70,0,3,Rainy,15.51,109.82
110.33,30.4,30,0,1,Sunny,67.5,231.58
90.5,22.8,61,0,6,Cloudy,37.02,171.98
105.36,30.3,29,0,5,Cloudy,68.53,234.99
96.79,24.8,34,0,5,Rainy,22.12,163.41
109.36,23.7,86,0,4,Sunny,51.26,170.69
95.23,21.3,11,1,0,Sunny,72.52,259.32
110.73,35.3,31,1,5,Rainy,68.37,241.92
101.6,28.5,15,0,5,Rainy,43.21,184.86
118.1,32.5,12,1,2,Sunny,100.0,317.85
94.13,34.6,15,0,0,Sunny,50.33,205.42
100.23,33.6,92,0,0,Cloudy,29.57,134.3
93.4,29.4,34,0,4,Rainy,5.05,112.3
117.74,27.8,98,0,6,Sunny,72.5,220.3
116.32,27.5,19,0,6,Rainy,62.88,238.54
97.74,32.8,60,0,0,Sunny,37.72,163.35
109.8,29.9,39,0,0,Cloudy,55.41,195.44
114.52,37.0,43,0,5,Cloudy,71.07,237.39
106.66,37.5,28,0,1,Sunny,50.19,210.0
105.89,23.4,12,0,2,Sunny,68.22,234.38
97.26,22.7,47,0,3,Sunny,34.04,161.62
92.79,32.6,46,0,4,Rainy,0.0,102.61
116.92,26.0,88,0,5,Sunny,78.07,230.23
117.01,20.4,45,0,5,Cloudy,81.18,247.41
108.99,37.8,51,0,4,Cloudy,54.07,204.52
100.17,24.5,30,0,0,Cloudy,31.16,159.9
100.48,38.6,56,0,3,Rainy,10.39,107.27
111.78,34.3,92,0,5,Cloudy,53.78,190.46
116.91,35.3,26,1,3,Cloudy,92.51,278.02
116.61,24.0,9,0,3,Cloudy,79.6,257.77
113.4,24.7,19,0,4,Cloudy,57.85,225.91
109.26,30.4,40,0,4,Sunny,61.97,212.3
92.52,23.4,67,0,6,Rainy,12.85,110.17
94.85,26.1,97,0,5,Sunny,36.48,140.59
116.96,26.4,83,0,5,Cloudy,74.26,199.93
108.19,23.2,95,0,6,Cloudy,46.78,170.67
90.28,24.1,53,0,6,Sunny,43.01,177.33
93.04,35.8,59,1,5,Sunny,61.5,209.71
109.91,23.3,76,0,1,Sunny,52.83,168.36
90.15,20.6,64,0,4,Sunny,10.94,101.76
94.82,32.6,61,0,4,Rainy,0.0,81.75
106.46,39.5,33,0,1,Rainy,31.14,166.37
110.76,26.6,23,0,4,Sunny,62.25,227.45
109.56,22.4,99,0,0,Sunny,36.55,146.18
96.73,31.4,77,0,0,Rainy,2.57,96.99
111.37,38.1,14,0,6,Sunny,94.11,292.42
97.12,35.7,14,0,1,Rainy,9.7,147.76
99.76,32.5,93,0,5,Sunny,55.41,187.79
112.39,26.3,61,0,1,Cloudy,52.45,196.59
109.49,30.8,58,0,0,Sunny,62.08,209.63
115.48,21.8,60,0,3,Sunny,61.26,211.03
109.73,33.6,72,0,4,Sunny,60.44,194.5
107.05,34.5,73,0,2,Cloudy,37.33,153.93
92.81,39.3,91,0,2,Sunny,20.36,129.91
101.03,25.2,59,0,1,Cloudy,36.26,156.31
97.96,20.4,73,0,2,Sunny,33.07,142.99
97.32,30.9,76,0,3,Sunny,25.58,130.14
119.19,34.1,85,0,2,Cloudy,53.94,175.21
101.79,35.8,5,1,0,Sunny,79.6,272.06
116.76,23.9,16,0,1,Sunny,76.5,256.64
108.93,25.2,39,0,5,Sunny,82.9,256.93
113.84,30.3,82,0,2,Cloudy,58.13,195.92
105.08,26.6,86,0,4,Rainy,2.22,103.51
107.31,37.2,78,0,6,Cloudy,53.55,179.44
104.78,29.5,83,1,6,Sunny,75.27,228.46
95.86,36.0,37,1,1,Sunny,74.13,235.23
111.67,31.6,87,0,3,Sunny,53.87,168.13
98.42,35.5,29,0,0,Sunny,53.57,205.76
90.73,26.7,20,0,6,Sunny,61.0,228.51
109.36,36.6,12,0,2,Sunny,71.1,250.91
95.31,25.5,39,0,0,Sunny,40.34,183.05
118.21,30.9,89,0,3,Sunny,68.22,213.35
118.62,24.3,87,0,6,Sunny,80.72,240.43
117.45,29.5,50,0,5,Sunny,81.94,245.54
101.1,26.4,15,0,2,Sunny,53.54,207.45
90.46,25.3,65,1,5,Cloudy,49.25,196.38
117.85,39.3,48,0,5,Sunny,93.17,276.18
102.85,23.2,15,1,1,Sunny,87.14,285.43
119.0,35.7,15,0,5,Sunny,100.0,296.07
118.91,39.7,26,0,1,Sunny,77.02,246.6
115.59,20.4,89,0,5,Rainy,37.39,147.46
98.83,34.0,95,0,6,Sunny,42.75,159.97
101.55,25.1,86,0,4,Cloudy,25.62,122.77
115.53,20.8,66,0,3,Cloudy,58.15,190.26
99.51,28.1,52,0,2,Cloudy,33.43,163.97
95.08,38.7,98,0,0,Rainy,0.0,80.0
106.7,20.2,67,0,6,Rainy,27.37,141.98
118.08,31.8,55,1,0,Sunny,94.33,278.09
110.88,30.0,49,0,2,Sunny,59.41,207.44
107.1,37.5,37,0,3,Cloudy,40.37,174.02
92.92,21.7,89,1,3,Rainy,2.57,108.99
108.45,33.6,64,0,5,Rainy,34.1,157.56
119.7,33.6,6,0,0,Sunny,97.36,293.13
94.2,33.4,17,0,2,Sunny,43.91,198.18
105.55,38.8,70,0,5,Cloudy,51.48,197.32
116.32,36.5,61,1,2,Sunny,88.63,264.75
112.22,20.8,47,0,0,Cloudy,51.24,205.99
110.91,29.4,49,0,2,Cloudy,49.25,179.96
111.07,28.0,35,1,2,Sunny,86.47,266.34
100.78,26.2,14,0,5,Rainy,34.79,163.51
98.81,29.0,27,1,1,Rainy,26.2,184.46
114.28,27.7,90,0,1,Sunny,51.17,158.49
114.3,28.6,33,0,4,Cloudy,64.63,226.23
116.01,39.6,35,0,5,Cloudy,81.75,268.55
117.4,21.8,82,1,4,Sunny,88.18,260.49
105.34,38.4,78,0,3,Sunny,50.89,180.61
105.05,29.6,22,1,1,Sunny,76.47,271.91
113.95,32.5,15,0,1,Rainy,37.7,180.01
109.5,36.6,51,0,1,Sunny,55.44,203.44
111.06,27.2,7,0,1,Sunny,73.73,253.31
113.87,28.6,6,0,3,Sunny,75.89,257.54
116.7,28.2,58,0,0,Sunny,66.78,217.72
100.14,27.5,76,1,3,Sunny,53.05,201.89
101.27,38.5,35,0,0,Sunny,55.32,219.61
92.82,36.6,12,0,4,Cloudy,30.89,172.46
107.35,22.2,47,1,1,Cloudy,61.93,214.27
91.08,22.2,52,0,5,Cloudy,38.62,161.96
103.97,28.6,6,1,5,Cloudy,92.76,314.56
106.28,22.0,26,0,0,Sunny,60.49,232.73
98.6,32.4,9,0,6,Cloudy,64.54,227.94
107.72,22.9,11,0,6,Sunny,87.27,289.88
90.92,30.4,24,0,6,Sunny,63.67,221.91
91.12,20.1,96,0,3,Sunny,21.55,121.1
114.68,26.3,81,1,0,Sunny,86.25,244.06
100.81,33.5,6,0,2,Sunny,59.72,246.8
93.81,29.7,36,0,4,Sunny,46.92,186.89
105.67,39.6,94,1,4,Cloudy,57.4,182.93
113.1,37.5,7,0,1,Cloudy,66.84,238.15
96.47,27.2,45,1,1,Sunny,57.77,237.5
108.69,20.9,46,0,3,Rainy,21.67,143.08
92.56,36.9,81,0,0,Cloudy,16.62,106.18
91.55,38.2,89,0,2,Rainy,0.0,80.0
105.94,36.4,49,0,4,Cloudy,41.94,162.01
106.22,22.6,91,0,0,Sunny,48.01,170.25
109.12,40.0,75,0,2,Rainy,19.52,112.63
111.78,25.2,21,0,5,Rainy,39.61,194.64
119.28,34.5,96,0,0,Sunny,53.45,179.53
105.49,38.2,51,1,1,Sunny,83.73,259.41
99.69,24.7,98,0,5,Sunny,51.03,177.74
113.86,38.2,73,0,5,Rainy,35.97,160.65
98.12,26.2,28,0,4,Sunny,41.35,186.68
103.17,39.5,75,0,2,Cloudy,26.01,128.17
92.35,25.6,38,0,6,Cloudy,44.68,189.73
90.76,39.1,54,0,1,Sunny,39.83,172.95
118.88,21.1,46,0,5,Cloudy,89.09,266.29
115.08,34.2,37,0,6,Cloudy,68.64,230.69
110.88,30.6,31,0,3,Sunny,65.54,230.09
102.27,29.6,82,1,3,Sunny,54.52,194.55
95.2,24.5,63,0,1,Rainy,0.0,104.4
94.69,34.1,23,0,2,Cloudy,28.48,154.58
97.51,23.8,80,0,2,Cloudy,19.53,112.14
106.48,31.1,7,0,4,Sunny,63.28,236.0
111.44,25.1,75,0,1,Sunny,57.27,184.51
109.81,39.1,29,0,3,Rainy,28.43,163.37
98.4,20.6,19,0,1,Cloudy,40.04,178.67
118.65,24.0,87,0,0,Sunny,64.42,189.82
112.14,24.8,64,0,2,Cloudy,57.22,212.48
106.63,28.3,87,0,5,Cloudy,59.42,186.63
108.35,24.7,27,0,0,Sunny,66.71,222.2
102.59,29.8,15,0,3,Rainy,23.94,159.67
97.43,37.4,63,0,2,Sunny,43.83,180.68
100.68,34.2,89,0,3,Cloudy,30.15,144.42
112.74,31.6,38,0,3,Sunny,72.11,224.11
90.43,21.8,11,0,3,Sunny,34.45,175.38
93.48,33.9,48,0,4,Rainy,6.86,115.14
91.38,23.3,95,0,3,Cloudy,10.36,95.88
91.22,35.7,68,0,3,Cloudy,11.96,99.74
115.66,25.0,27,0,0,Sunny,72.04,229.66
111.11,28.3,62,0,0,Rainy,25.97,132.21
104.23,27.0,24,0,0,Sunny,46.58,182.68
92.94,37.2,31,0,2,Cloudy,29.48,158.89
104.75,22.5,64,0,4,Rainy,9.65,119.92
104.2,31.3,12,0,2,Sunny,58.92,219.73
95.2,22.8,71,0,4,Sunny,29.21,150.73
103.02,34.1,6,0,4,Rainy,20.33,158.82
101.96,38.1,26,0,1,Rainy,25.4,156.24
108.48,28.7,74,0,5,Cloudy,44.87,155.45
109.05,29.8,40,0,1,Sunny,62.43,226.72
91.36,38.5,28,1,1,Cloudy,44.4,201.85
101.24,30.4,16,1,4,Sunny,86.98,270.76
108.78,29.8,85,0,4,Sunny,47.78,171.55
105.09,31.6,26,0,2,Sunny,49.22,195.9
115.69,33.8,87,0,4,Sunny,60.18,190.31
109.76,22.1,77,0,6,Sunny,61.08,198.36
94.89,36.4,80,0,3,Sunny,33.26,154.59
92.12,28.7,100,0,3,Cloudy,11.26,86.26
109.27,21.4,99,0,4,Cloudy,41.57,154.9
90.8,35.7,85,1,3,Rainy,6.63,115.06
107.57,27.5,27,0,4,Sunny,67.36,252.9
118.21,22.0,78,0,6,Sunny,79.12,236.82
107.26,32.7,67,1,1,Cloudy,57.85,208.52
101.65,37.6,34,0,4,Sunny,57.6,213.87
109.3,37.8,23,0,1,Sunny,60.9,235.53
103.75,39.2,30,0,6,Cloudy,61.44,218.3
106.37,37.4,94,0,0,Sunny,38.51,153.69
118.24,20.0,15,0,3,Rainy,52.08,228.79
101.58,27.6,24,0,6,Cloudy,55.44,211.92
118.84,36.4,60,0,0,Sunny,68.21,201.67
117.16,27.3,49,0,3,Sunny,71.26,221.88
95.87,32.0,72,0,6,Cloudy,44.65,171.72
92.08,32.1,51,0,6,Cloudy,35.16,156.09
93.02,27.3,80,1,5,Rainy,23.53,134.58
90.55,38.1,93,0,5,Cloudy,16.18,105.26
92.83,30.1,62,0,5,Sunny,40.73,171.81
110.49,29.3,14,0,0,Sunny,73.6,242.91
92.14,40.0,26,0,6,Cloudy,45.56,189.34
99.57,29.9,75,0,5,Sunny,52.09,192.53
115.35,23.6,28,0,4,Cloudy,73.33,239.13
90.7,30.3,70,1,5,Cloudy,41.69,180.84
114.43,36.3,100,1,0,Cloudy,73.24,216.94
98.46,35.5,89,1,6,Sunny,71.87,219.69
93.54,35.8,65,0,3,Cloudy,19.19,132.94
110.9,34.2,11,1,2,Sunny,95.01,285.62
108.87,25.1,76,0,3,Cloudy,37.09,157.31
116.32,37.2,42,1,2,Cloudy,83.48,268.69
112.05,37.9,25,1,4,Cloudy,91.33,293.68
114.1,23.9,12,1,6,Sunny,100.0,306.0
98.46,22.6,93,0,3,Cloudy,18.63,112.04
95.32,39.5,32,0,0,Cloudy,29.6,142.66
112.52,37.4,96,0,4,Sunny,47.0,156.24
114.21,37.9,58,0,3,Rainy,26.89,145.81
119.72,37.7,35,0,4,Cloudy,63.6,233.74
102.38,30.8,93,0,6,Cloudy,39.35,164.1
101.16,32.9,45,0,6,Sunny,63.51,214.08
113.29,30.9,41,0,2,Rainy,30.62,166.61
100.22,21.0,42,0,4,Cloudy,26.24,150.06
117.92,34.9,55,1,6,Cloudy,94.61,264.87
115.75,30.1,80,0,0,Cloudy,49.39,178.75
102.87,33.0,41,0,3,Sunny,61.49,229.84
112.53,30.1,35,0,2,Sunny,68.42,227.61
112.64,29.8,66,0,4,Sunny,63.83,199.64
93.09,23.4,22,0,1,Sunny,40.91,188.18
117.08,25.6,94,0,2,Cloudy,53.91,174.05
105.16,23.2,10,1,2,Sunny,80.01,294.9
114.79,23.9,13,0,0,Cloudy,70.82,254.01
99.6,39.5,15,0,0,Cloudy,49.1,206.92
116.87,23.1,99,0,4,Sunny,59.07,158.66
101.68,25.4,6,0,1,Sunny,71.53,249.62
90.33,31.8,33,0,2,Cloudy,22.67,164.12
117.16,32.2,55,0,4,Sunny,76.31,235.5
92.74,23.1,73,0,5,Sunny,47.99,181.45
99.58,35.9,27,0,1,Cloudy,41.52,189.37
118.5,35.7,11,0,4,Cloudy,83.65,266.18
118.52,24.7,60,0,2,Cloudy,59.04,214.81
107.2,25.8,81,1,4,Cloudy,56.62,197.92
108.96,38.8,66,0,0,Rainy,18.61,119.83
103.45,36.5,78,1,0,Sunny,55.41,195.92
98.8,34.0,84,0,3,Rainy,1.8,97.66
99.86,21.6,19,0,1,Sunny,57.12,206.47
110.18,28.4,57,0,5,Cloudy,62.64,211.41
112.57,31.2,47,0,2,Cloudy,63.57,216.51
113.75,23.7,87,0,1,Cloudy,42.33,145.38
113.69,29.0,89,0,0,Rainy,10.18,104.97
92.74,32.0,39,0,5,Sunny,61.92,219.0
104.83,26.5,83,0,2,Sunny,47.4,175.86
91.73,35.6,18,1,3,Sunny,65.32,252.68
106.49,36.8,97,1,0,Sunny,58.93,192.13
103.25,26.5,73,0,0,Cloudy,34.68,146.48
116.63,36.8,53,0,5,Sunny,77.74,227.04
100.53,22.1,22,0,1,Rainy,18.07,141.36
93.51,36.8,55,0,6,Cloudy,34.25,159.24
94.29,23.1,5,0,4,Sunny,51.24,207.03
112.85,21.7,31,0,6,Sunny,89.59,275.42
108.55,32.8,68,1,1,Sunny,67.18,214.7
93.03,29.4,64,0,0,Rainy,0.0,80.0
92.52,38.2,95,0,1,Cloudy,11.28,93.19
111.03,27.3,93,0,4,Sunny,52.06,173.69
92.18,25.7,45,0,3,Sunny,33.56,152.84
114.66,30.0,25,0,2,Sunny,78.0,245.8
111.19,29.1,18,0,0,Sunny,67.9,233.18
92.44,26.9,24,0,1,Cloudy,23.05,150.5
92.55,33.9,96,1,0,Cloudy,22.75,130.33
119.6,35.2,89,0,2,Sunny,60.18,193.94
101.23,37.1,91,0,1,Rainy,0.0,80.0
101.12,39.5,15,1,3,Sunny,84.93,272.06
114.38,25.3,70,0,2,Sunny,60.16,199.39
118.42,34.3,88,0,4,Cloudy,55.82,185.62
119.58,27.9,28,0,4,Sunny,84.91,276.74
112.6,33.5,93,1,0,Sunny,71.03,225.53
101.29,29.5,41,0,4,Cloudy,57.31,197.6
92.51,39.9,90,0,1,Sunny,36.4,144.38
113.31,34.6,28,0,4,Sunny,78.53,256.01
106.75,39.0,19,0,3,Cloudy,49.9,198.52
102.73,36.7,16,0,5,Sunny,81.45,260.81
117.19,38.1,99,0,1,Sunny,47.34,166.11
93.34,36.3,68,1,5,Sunny,71.59,231.86
104.78,29.2,35,0,0,Cloudy,33.89,168.51
90.34,25.0,57,1,0,Sunny,46.82,185.54
104.06,27.4,98,0,6,Rainy,22.74,105.36
91.69,20.4,88,0,4,Rainy,0.0,80.0
93.56,30.5,76,1,4,Sunny,40.15,168.55
93.53,30.1,48,0,0,Rainy,1.74,92.38
109.48,30.5,34,0,1,Cloudy,55.94,209.08
112.38,39.5,39,0,2,Sunny,67.9,230.85
107.5,38.2,25,0,0,Cloudy,51.72,200.05
118.87,23.2,67,0,6,Cloudy,77.47,234.18
101.25,27.4,96,0,3,Sunny,38.79,149.03
98.57,28.5,21,0,1,Sunny,50.79,203.48
116.06,27.2,16,0,2,Sunny,86.89,270.07
96.71,36.0,22,0,6,Sunny,62.68,224.17
118.9,30.5,96,0,6,Sunny,72.1,199.92
90.36,31.4,64,0,2,Cloudy,23.13,137.39
119.1,37.1,71,0,6,Sunny,88.95,242.84
91.29,36.1,19,0,1,Sunny,38.14,177.91
116.73,22.6,20,1,0,Sunny,95.28,300.47
105.83,34.3,26,0,2,Rainy,34.77,172.65
119.79,28.7,99,0,3,Sunny,59.47,183.04
92.21,25.9,67,0,5,Sunny,43.24,155.63
106.62,21.0,35,0,1,Sunny,58.16,208.01
119.08,29.7,5,0,4,Cloudy,83.73,286.65
105.69,27.1,79,0,5,Sunny,70.56,198.26
108.88,25.0,10,0,0,Sunny,70.67,261.21
110.87,33.9,91,0,6,Sunny,76.1,218.56
103.64,35.4,13,0,1,Sunny,58.78,220.04
108.83,24.9,56,0,3,Cloudy,45.03,176.41
107.53,21.0,84,0,5,Sunny,64.46,208.87
117.03,37.0,66,0,5,Sunny,76.67,211.78
91.36,20.2,62,1,2,Cloudy,41.75,190.47
98.43,38.7,23,0,0,Sunny,48.15,202.3
118.51,32.6,17,0,0,Cloudy,64.95,241.5
116.71,26.4,36,0,1,Sunny,65.55,211.0
103.67,24.9,13,0,1,Rainy,24.99,161.65
108.6,20.2,53,0,3,Rainy,24.09,123.24
98.32,24.7,41,0,6,Cloudy,43.38,192.16
95.64,22.8,35,0,6,Rainy,23.86,142.58
103.91,32.2,35,0,4,Sunny,56.27,200.81
100.6,23.3,63,0,1,Cloudy,31.16,134.12
107.51,30.6,59,1,5,Sunny,83.93,260.13
92.33,31.8,23,0,1,Cloudy,32.8,173.11
119.23,26.0,67,0,1,Sunny,68.04,207.98
119.59,20.7,6,0,6,Sunny,100.0,304.1
110.94,20.7,49,0,3,Rainy,20.25,130.72
106.08,20.5,100,0,2,Sunny,39.69,132.38
99.29,34.8,47,0,4,Cloudy,28.47,149.83
114.41,26.4,5,1,3,Cloudy,88.94,305.74
110.54,35.9,89,0,1,Sunny,43.64,166.82
94.88,28.6,65,0,2,Sunny,28.23,146.96
117.33,29.1,7,0,1,Sunny,83.87,274.42
114.68,30.3,95,0,3,Rainy,15.69,102.83
118.49,34.3,48,1,0,Rainy,65.67,235.1
